,year,DirectorID,CompanyID
83668,2010,35510,4
83669,2010,35512,2
83670,2010,35514,1
83671,2010,35515,2
83672,2010,35520,1
83673,2010,35546,1
83674,2010,35552,4
83675,2010,35558,1
83676,2010,35567,4
83677,2010,35575,2
83678,2010,35587,2
83679,2010,35588,4
83681,2010,35591,2
83682,2010,35595,2
83683,2010,35598,2
83684,2010,35607,3
83685,2010,35615,2
83686,2010,35616,1
83687,2010,35624,6
83689,2010,35626,6
83690,2010,35627,1
83691,2010,35632,6
83693,2010,35655,2
83694,2010,35663,2
83695,2010,35671,4
83696,2010,35677,2
83697,2010,35683,2
83700,2010,35692,4
83701,2010,35694,6
83702,2010,35718,6
83703,2010,35741,6
83704,2010,35750,1
83705,2010,35754,6
83706,2010,35766,2
83707,2010,35779,2
83708,2010,35784,6
83709,2010,35795,2
83710,2010,35797,6
83712,2010,35800,2
83713,2010,35802,4
83714,2010,35823,6
83715,2010,35824,7
83716,2010,35836,2
83718,2010,35839,2
83719,2010,35849,6
83721,2010,35879,1
83722,2010,35881,2
83723,2010,35886,4
83724,2010,35889,6
83725,2010,35915,6
83726,2010,35924,1
83727,2010,35925,4
83728,2010,35928,2
83729,2010,35937,2
83730,2010,35950,6
83731,2010,35952,6
83732,2010,35953,2
83733,2010,35959,4
83734,2010,35971,6
83735,2010,35974,6
83736,2010,35976,4
83737,2010,35981,6
83738,2010,35995,6
83739,2010,36002,2
83740,2010,36003,2
83741,2010,36014,6
83742,2010,36015,6
83743,2010,36046,2
83744,2010,36057,2
83745,2010,36068,6
83746,2010,36076,1
83747,2010,36098,2
83750,2010,36116,6
83751,2010,36118,6
83752,2010,36120,2
83753,2010,36134,4
83754,2010,36141,1
83755,2010,36143,1
83756,2010,36147,1
83757,2010,36155,4
83758,2010,36157,1
83759,2010,36162,2
83760,2010,36168,4
83761,2010,36178,2
83762,2010,36184,2
83763,2010,36208,1
83764,2010,36214,1
83766,2010,36222,2
83767,2010,36230,6
83768,2010,36232,4
83769,2010,36236,2
83770,2010,36241,6
83771,2010,36247,6
83772,2010,36253,6
83773,2010,36255,2
83774,2010,36267,1
83775,2010,36272,1
83777,2010,36276,2
83778,2010,36278,4
83779,2010,36279,6
83780,2010,36282,2
83781,2010,36284,2
83782,2010,36288,2
83783,2010,36294,4
83784,2010,36296,5
83785,2010,36298,4
83787,2010,36307,2
83788,2010,36308,2
83789,2010,36310,2
83790,2010,36314,2
83791,2010,36319,1
83792,2010,36335,2
83794,2010,36350,2
83795,2010,36351,2
83796,2010,36354,1
83797,2010,36355,6
83798,2010,36359,2
83799,2010,36360,2
83800,2010,36361,2
83801,2010,36363,1
83802,2010,36380,1
83803,2010,36400,4
83804,2010,36408,1
83805,2010,36413,4
83806,2010,36416,2
83807,2010,36421,2
83808,2010,36446,6
83809,2010,36452,1
83810,2010,36465,1
83811,2010,36469,2
83812,2010,36470,2
83813,2010,36476,2
83814,2010,36495,6
83815,2010,36497,2
83816,2010,36501,2
83817,2010,36502,2
83818,2010,36507,1
83819,2010,36509,4
83820,2010,36514,6
83821,2010,36522,2
83822,2010,36525,6
83823,2010,36526,2
83824,2010,36528,2
83825,2010,36529,4
83826,2010,36532,8
83828,2010,36538,1
83829,2010,36539,8
83830,2010,36547,6
83831,2010,36552,1
83832,2010,36555,2
83833,2010,36556,1
83834,2010,36560,2
83835,2010,36563,1
