,year,DirectorID,CompanyID
27807,2000,31649,7
27809,2000,31653,1
27810,2000,31658,2
27811,2000,31662,3
27813,2000,31670,2
27814,2000,31671,2
27815,2000,31674,2
27816,2000,31678,8
27817,2000,31692,3
27818,2000,31736,1
27819,2000,31793,2
27820,2000,31801,5
27821,2000,31815,2
27822,2000,31901,6
27823,2000,31904,3
27826,2000,32009,2
27828,2000,32012,6
27829,2000,32013,2
27830,2000,32015,6
27831,2000,32017,3
27832,2000,32018,6
27833,2000,32019,1
27834,2000,32020,2
27836,2000,32188,1
27837,2000,32199,4
27838,2000,32227,4
27840,2000,32231,1
27844,2000,32279,2
27845,2000,32284,8
27846,2000,32333,6
27847,2000,32337,1
27849,2000,32341,2
27850,2000,32346,6
27852,2000,32349,6
27853,2000,32354,6
27854,2000,32357,8
27855,2000,32359,2
27856,2000,32406,3
27857,2000,32451,2
27858,2000,32518,4
27860,2000,32529,2
27862,2000,32533,2
27863,2000,32535,2
27865,2000,32537,4
27867,2000,32551,1
27868,2000,32557,2
27869,2000,32568,5
27870,2000,32569,4
27872,2000,32573,6
27873,2000,32574,2
27874,2000,32628,2
27876,2000,32641,2
27877,2000,32643,2
27878,2000,32648,2
27879,2000,32649,2
27880,2000,32654,2
27881,2000,32656,4
27882,2000,32658,4
27883,2000,32661,6
27884,2000,32663,6
27885,2000,32667,2
27886,2000,32697,2
27887,2000,32706,6
27888,2000,32710,4
27889,2000,32712,4
27892,2000,32746,1
27893,2000,32747,1
27897,2000,32814,2
27898,2000,32816,6
27899,2000,32817,2
27900,2000,32835,6
27902,2000,32839,3
27903,2000,32843,2
27904,2000,32847,2
27906,2000,32898,2
27907,2000,32899,6
27908,2000,32900,3
27909,2000,32902,6
27911,2000,32906,4
27912,2000,32910,2
27913,2000,32916,6
27914,2000,32919,1
27915,2000,32922,2
27916,2000,32926,1
27918,2000,32934,6
27919,2000,32936,6
27920,2000,32939,2
27921,2000,33001,2
27924,2000,33006,1
27925,2000,33008,6
27927,2000,33012,6
27930,2000,33033,1
27931,2000,33094,1
27932,2000,33115,3
27933,2000,33118,3
27934,2000,33121,5
27935,2000,33126,3
27939,2000,33131,6
27940,2000,33141,1
27941,2000,33150,2
27942,2000,33155,4
27943,2000,33156,4
27944,2000,33157,6
27945,2000,33158,2
27946,2000,33159,6
27950,2000,33165,1
27952,2000,33169,3
27955,2000,33183,4
27956,2000,33187,4
27958,2000,33213,2
27959,2000,33237,6
27961,2000,33247,2
27964,2000,33255,1
27965,2000,33256,2
27966,2000,33260,4
27967,2000,33289,6
27968,2000,33290,2
27969,2000,33305,1
27970,2000,33321,1
27971,2000,33328,5
27972,2000,33334,6
27973,2000,33338,4
27974,2000,33354,1
27975,2000,33356,2
27976,2000,33370,1
27978,2000,33377,2
27981,2000,33404,2
27982,2000,33410,2
27983,2000,33412,1
27985,2000,33426,6
27986,2000,33427,4
27987,2000,33428,2
27988,2000,33430,2
27989,2000,33433,2
27990,2000,33450,1
27991,2000,33452,7
27992,2000,33455,2
27993,2000,33457,6
27994,2000,33458,2
27995,2000,33459,6
27998,2000,33467,6
27999,2000,33468,2
28001,2000,33473,4
28002,2000,33482,6
28003,2000,33498,1
28004,2000,33523,1
28006,2000,33536,2
28007,2000,33539,6
28009,2000,33546,3
28010,2000,33551,6
28011,2000,33553,2
28012,2000,33560,2
28013,2000,33563,1
28015,2000,33579,1
28016,2000,33581,2
28017,2000,33589,1
28018,2000,33591,6
